Thread count: 1, Result: 27604 ms
Thread count: 2, Result: 12732 ms
Thread count: 4, Result: 9760 ms
Thread count: 6, Result: 6106 ms
Thread count: 10, Result: 15012 ms
Thread count: 10, Result: 4665 ms
Thread count: 10, Result: 4407 ms
Thread count: 10, Result: 3541 ms
Thread count: 20, Result: 2137 ms
Thread count: 28, Result: 2787 ms
Thread count: 28, Result: 3215 ms
Thread count: 20, Result: 2143 ms
Thread count: 14, Result: 2436 ms
Thread count: 6, Result: 4058 ms
Thread count: 12, Result: 2257 ms
Thread count: 6, Result: 22006 ms
Thread count: 20, Result: 9385 ms
Thread count: 40, Result: 10049 ms
Thread count: 25, Result: 7542 ms
Thread count: 25, Result: 10798 ms
Thread count: 30, Result: 12505 ms
